snap,time_value,CloudCord_X,CloudCord_Y,CloudCord_Z,CloudVel_X,CloudVel_Y,CloudVel_Z,Peak_Density
420,4.290463638305664,228.2880745460448,181.16289222012932,69.5589641905598,-1.1984087478077223,-3.5906657079666453,1.0493577859850018,64203785911277.4
415,4.290461730957031,228.28807658124347,181.16289942267935,69.55896217137405,-1.1984082859049783,-3.5906666624654284,1.0493582221457707,59829359049369.84
410,4.290459823608399,228.28807928556492,181.16290599413398,69.55896020825753,-1.1984078173699197,-3.5906676163334876,1.049358615433818,55901988081269.98
405,4.290457916259766,228.28808134199136,181.1629131393778,69.55895813675518,-1.198407324779975,-3.5906685701401244,1.0493589835385053,52355616209744.56
400,4.290456008911133,228.2880836152993,181.162919756752,69.55895481079449,-1.1984068086770125,-3.590669546114232,1.0493593491731943,48995714268820.16
395,4.2904541015625,228.28808570627203,181.1629269374825,69.5589527310641,-1.1984062771034458,-3.5906705262103933,1.0493597065505393,45865483970150.72
390,4.290452194213867,228.288088443785,181.16293348697747,69.55895055139058,-1.1984057329356013,-3.5906714918574214,1.0493600429429601,42977632821169.375
385,4.2904502868652346,228.28809054710925,181.1629406683223,69.55894844771291,-1.198405163814354,-3.5906724564896124,1.0493603793320367,40314568466883.38
380,4.290448379516602,228.2880926411093,181.16294785353236,69.5589463472441,-1.1984045689019065,-3.5906734288949993,1.0493607137809375,37985564803792.87
375,4.290446472167969,228.28809473045268,181.16295504140126,69.55894425219456,-1.1984039559980364,-3.590674400695203,1.0493610537973996,35675874849941.84
370,4.290444564819336,228.28809875501082,181.16296171882382,69.55894214324621,-1.198403321890931,-3.590675372380892,1.049361389512417,33560581095258.258
365,4.290442657470703,228.28810090321292,181.1629689002755,69.55894005161286,-1.198402676097758,-3.590676343477752,1.0493617286767452,31733996749442.965
360,4.2904407501220705,228.28810304870876,181.16297607453072,69.55893796416251,-1.1984020083040177,-3.5906773237040546,1.0493620710205729,29767819257044.344
355,4.290438842773438,228.28810519032595,181.16298324126083,69.55893587607852,-1.1984013299009468,-3.5906783005083747,1.0493624241680848,27929004558229.395
350,4.290436935424805,228.28810732482833,181.16299039855198,69.55893378279922,-1.198400639302105,-3.5906792689548572,1.0493627784110637,26249354396019.44
345,4.290435028076172,228.2881094484512,181.16299755011062,69.55893168275364,-1.1983999412877975,-3.590680239011528,1.049363143741312,24498426151435.223
340,4.290433120727539,228.28811156197443,181.16300470259787,69.55892957820078,-1.1983992443807017,-3.590681206641618,1.0493635234511318,22728323384866.055
335,4.2904296875000005,228.2881153636731,181.16301753419285,69.55892580968612,-1.1983980083536105,-3.590682952775775,1.0493642296326,19753764859971.844
330,4.290425872802735,228.28812147249363,181.16303162455557,69.55892170093114,-1.1983966431267703,-3.590684889208021,1.0493650635348255,16856941696613.398
325,4.290422058105469,228.28812580400557,181.16304583189697,69.55891758746074,-1.1983953038465798,-3.590686834459394,1.0493659558274433,14392571449962.117
320,4.29041748046875,228.2881309675742,181.16306283482268,69.55891264530852,-1.1983937659886212,-3.590689163579023,1.049367079373294,11953145010942.305
315,4.290409851074219,228.28813954216,181.16309106455333,69.55890446379694,-1.198402673030995,-3.590694371648675,1.0493727619498863,8888186618689.607
310,4.2903991699218755,228.28815339885472,181.1631302818369,69.55889095181462,-1.1984013843857784,-3.590700846866145,1.049377722776715,6132124319879.982
305,4.290380859375,228.28817376588233,181.16319781898702,69.55887063583074,-1.1984066606574277,-3.590707423506318,1.0493804539096299,3619445822255.6514
300,4.290350341796875,228.28820923185978,181.16331108665236,69.55883787011135,-1.1984111345757138,-3.5907548299113774,1.0493627971521113,2077917988234.483
295,4.29029541015625,228.28827533868474,181.16350738193415,69.55877600935418,-1.198403813522416,-3.590786168431148,1.0493884646332046,1225344898883.1082
290,4.29013671875,228.28847949529734,181.16408680168283,69.55862637225596,-1.1983739722509477,-3.5907497826390364,1.0493804505673774,228862523360.80884
285,4.2894531250000005,228.28930041391735,181.16657001846494,69.55794714107549,-1.1984522708461376,-3.591283683763333,1.0497616723629755,7334557677.481421
280,4.28671875,228.2925715792819,181.176439193278,69.55455939120606,-1.198525886654045,-3.5929305572799937,1.0506069158673204,350404951.1282782
275,4.275,228.30832969952166,181.22108622443753,69.54454130580295,-1.1990235612046625,-3.601443806369574,1.0539000096048192,26138245.41972273
270,4.2,228.39989091492149,181.49605061100152,69.45512317323676,-1.198047683041262,-3.644280088908077,1.073776458957621,672458.9834547051
265,4.075,228.56091310300243,181.95627564774833,69.32500055174184,-1.1881351578978865,-3.703577806328954,1.1177204235899758,155558.94930213157
260,3.95,228.70024712691514,182.39005163008045,69.18288017398055,-1.1650334048524895,-3.7721491753912555,1.156458458468865,86472.96052603301
255,3.825,228.80794670992051,182.90761679565742,69.00682415292815,-1.14291850306947,-3.840244924089503,1.198123703128401,58516.46836068071
250,3.7,228.93157000276278,183.35398629588954,68.86130894922121,-1.1112079741589842,-3.9093581125582575,1.2231942442227248,45054.25333441912
245,3.575,229.11877958613616,183.80826359583546,68.81106914193752,-1.0825690657763725,-3.979727135015241,1.257748245733379,31057.07032898735
240,3.45,229.30498053687361,184.23203648859814,68.66584762098441,-1.0652869686724575,-4.0568647599885725,1.2952510772239494,26174.03527776117
235,3.325,229.47779622805535,184.73909460431145,68.45910921865807,-1.0319554047343509,-4.143954458570377,1.3470881214639268,21673.971955388148
230,3.2,229.57204736976288,185.38283288432197,68.34279997838286,-1.0031647616302233,-4.236678391728976,1.3822669978852873,16823.521936226687
225,3.075,229.63000666133925,185.93804258803118,68.16007681055774,-0.9951095459340793,-4.308579851109287,1.3581691591632619,17571.49697649467
220,2.95,229.70188580841088,186.4450675645573,68.07323915625123,-0.9952014121797916,-4.388076913580744,1.3544643617821457,21424.450711092726
215,2.85,229.398959262507,186.737579379258,68.20369416558263,-1.0158372571219143,-4.453368229303287,1.3472366432481635,37369.66407876487
210,2.725,229.51568003490596,187.30097954891323,68.123057479473,-0.9883675698805765,-4.5687981546719145,1.3035408202048178,84498.13431415147
205,2.6,229.5647803812571,187.9317884346077,67.97516334008249,-1.0030935618618328,-4.686904041841896,1.2875934522268806,71307.24100689769
200,2.4875000000000003,229.9369939353692,188.44117279801702,67.9999708526848,-1.0248473118716261,-4.799651348549376,1.2639718192766218,60772.15577662315
195,2.4000000000000004,230.11732501736833,188.92658378284187,67.97793397364615,-1.0521049042752544,-4.851504402148333,1.255012186082823,40246.06594606706
190,2.3375,230.29872051757638,189.2663045157667,67.9951207076062,-1.114322592942819,-4.88835084591345,1.2206562457632721,23254.03819962582
185,2.275,230.39220622431907,189.6274075242771,67.99105807460015,-1.1650970605850164,-4.909902332038032,1.1849165238166106,16195.646418741708
